,Name,Date Of Birth,Country,Number_100m,Number_50m
46,"DRUET, Lenni",2006,FRA,58.33,28.02
47,"LAMBERT, Marius",2004,FRA,58.35,28.01
48,"ANTOINE, Oscar",2004,FRA,58.37,27.83
49,"COURAUD, Victor",2006,FRA,58.51,28.57
50,"BAYRAT, Ethan",2006,FRA,58.59,28.26
51,"GIRERD, Mathis",2005,FRA,58.59,27.96
52,"POSTAL, Pierre",2004,FRA,58.59,27.98
53,"ANDREOLI, Luca",2005,FRA,58.76,28.28
54,"AUBRY, Lenny",2005,FRA,59.60,28.66
55,"CHAUVIN, Titouan",2003,FRA,59.74,28.08
56,"PETITE, Yanis",2004,FRA,59.78,28.70
57,"DA SILVA-LENGLET, Auxence",2006,FRA,59.81,28.81
58,"BRUZZO, Axel",2006,FRA,59.97,28.68
59,"BRENOT, Victor",2005,FRA,59.98,28.75
60,"LAMOUTI-BOUSSEDOUR, Fahim",2004,FRA,1:00.06,28.71
61,"DEFOIS-PERNOT, Oscar",2008,FRA,1:00.12,29.03
62,"FORTIER, Guillaume",2002,FRA,1:00.16,28.73
63,"PUYRAIMOND, Natan",2006,FRA,1:00.46,28.58
64,"OUDOT, Charles",2005,FRA,1:00.56,28.30
65,"GRIFFITHS, Gwilym",2005,FRA,1:00.64,28.32
66,"METEYER, Clovis",2005,FRA,1:00.66,28.84
67,"GOUSSEAU, Quentin",2007,FRA,1:00.68,29.10
68,"CONVERSAT, Quentin",2006,FRA,1:01.45,29.01
69,"JACQUES, Antonin",2006,FRA,1:01.61,29.34
70,"DROIN, Erwann",2003,FRA,1:01.61,27.69
71,"SKIER, Tom",2005,FRA,1:01.64,29.18
72,"BRANTUS, Hugo",2006,FRA,1:01.97,28.69
73,"BELKENTAOUI, Elyas",2005,FRA,1:02.12,29.66
74,"HUBNER, Martin",2006,FRA,1:02.19,29.57
75,"KLIOUTCHKO, Yael",2009,FRA,1:02.27,29.65
76,"VARLET, Minh-Hoang",2004,FRA,1:02.52,30.05
77,"GEOFFROY, Alexis",2006,FRA,1:02.56,31.05
78,"TRIMAILLE, Constant",2008,FRA,1:02.74,30.04
79,"PETREMENT, Thomas",2008,FRA,1:02.75,30.32
80,"TCHERNENKO, Owen",2008,FRA,1:02.77,30.05
81,"HAMITI, Yova",2007,FRA,1:02.79,31.30
82,"BOIS, Mahe",2007,FRA,1:02.84,29.20
83,"DA COSTA, Sacha",2007,FRA,1:02.93,30.18
84,"GUILLAUME, Enzo",2008,FRA,1:03.16,30.85
85,"KEHRWILLER, Antoine",2005,FRA,1:03.44,30.47
86,"DALLOZ, Gabin",2007,FRA,1:03.45,30.30
87,"SOUMAHORO, Inza",2008,FRA,1:03.57,30.51
88,"PERRIOT-COMTE, Nathan",2008,FRA,1:03.57,30.40
89,"BOUCHY, Noa",2007,FRA,1:03.57,30.68
90,"MARTIN, Raphael",2006,FRA,1:03.63,30.02
91,"DEFONTAINE, Malo",2006,FRA,1:03.64,31.05
92,"BLANDIN, Feodor",2008,FRA,1:03.89,30.88
93,"MEFTAH SAOUES--POULOT, Loris",2008,FRA,1:04.00,30.52
94,"LIOTIER, Aaron",2008,FRA,1:04.24,29.95
95,"SERIN, Timothee",2007,FRA,1:04.31,31.23
96,"BOUBEGUIRA, Halim",2007,FRA,1:04.64,30.82
97,"LEBREF, Justin",2005,FRA,1:04.77,31.49
98,"MADMOUNE, Camil",2007,FRA,1:04.98,30.90
99,"GUERIN, Maxence",2008,FRA,1:05.15,30.59
100,"VAUTRIN, Lilian",2007,FRA,1:05.23,30.99
101,"BRIFFAUD, Valentin",2008,FRA,1:05.45,31.40
102,"PERRIER, Tom",2008,FRA,1:05.55,30.96
103,"BEAUJON, Cyril",2008,FRA,1:05.59,31.56
104,"GIRERD, Hugo",2008,FRA,1:05.97,30.94
105,"GRACZYK, Nathan",2007,FRA,1:06.29,29.95
106,"DI CATERINA MARTINS, Arthur",2008,FRA,1:06.44,32.10
107,"TSCHENN, Clement",2007,FRA,1:06.50,31.82
108,"BOURGEOIS, Pierre-Louis",2008,FRA,1:06.58,31.97
109,"GARNIER, Mathis",2008,FRA,1:06.71,31.69
110,"SIRE, Olivier",2005,FRA,1:06.71,32.26
111,"IRIMIE, Darius",2008,ROU,1:07.08,31.63
112,"BOURGEOIS, Paul-Frederic",2008,FRA,1:07.43,31.87
113,"WENGER, Lucas",2007,FRA,1:07.69,30.49
114,"CINI, Theo",2009,FRA,1:07.84,32.15
115,"MOREL, Maxime",2008,FRA,1:08.08,32.34
116,"BOUAIN, Wassim",2008,FRA,1:08.76,31.57
117,"LAVALLEE, Gabriel",2008,FRA,1:09.13,32.50
118,"SENTER, Esteban",2008,FRA,1:09.16,33.81
119,"DAUJAT, Pacome",2007,FRA,1:09.34,33.25
120,"GRILLOT, Natan",2008,FRA,1:10.02,33.07
121,"GUILLET, Leni",2009,FRA,1:10.76,33.34
122,"GREMEAUX, Gaspard",2009,FRA,1:10.95,33.39
123,"TCHEROUKA, Noham",2008,FRA,1:11.07,33.64
124,"BONFILS, Anatole",2008,FRA,1:11.21,33.03
125,"VOSSION, Robin",2009,FRA,1:11.83,34.87
126,"CUENIN VIVERGE, Basile",2009,FRA,1:11.90,33.61
127,"ROGGIA, Jessy",2009,FRA,1:13.70,34.82
128,"JORDAN, Antoine",2009,FRA,1:14.17,36.76
129,"KAMBOUA, Nabil",2009,FRA,1:18.59,36.45
130,"PERRICHON, Maxime",2008,FRA,1:18.61,37.53
131,"FERCHICHI, Adem",2009,FRA,1:19.98,36.45
132,"BOURIEZ, Leonard",2009,FRA,1:21.39,38.34
133,"LECHENAULT, Nohan",2009,FRA,1:24.26,40.33
134,"BIGUENET, Pauline",2002,FRA,59.89,29.10
135,"PACAUD, Pauline",1993,FRA,1:00.22,29.24
136,"PREDINE, Alix",2006,FRA,1:01.53,30.06
137,"RABIA, Aya-Maria",2006,FRA,1:02.25,29.90
138,"BARAN, Anna",2006,FRA,1:02.88,30.23
139,"MAREUGE, Juliette",2004,FRA,1:03.59,30.93
140,"GAUTHIER, Jeanne-Lise",2008,FRA,1:03.72,31.30
141,"OURGAUD, Camille",2003,FRA,1:04.05,30.87
142,"LABALME, Lou",2007,FRA,1:04.16,30.96
143,"WENGER, Margaux",2005,FRA,1:04.17,30.98
144,"PILLOT, Sarah-Marie",2002,FRA,1:04.72,31.36
145,"LESEUR, Emilie",2008,FRA,1:04.75,31.67
146,"FADDA SAUVAGEOT, Athena",2005,FRA,1:04.87,31.04
147,"CLEMENT, Lilly",2008,FRA,1:05.12,31.83
148,"MICHAUD, Perline",2005,FRA,1:05.16,30.99
149,"HOAREAU, Sarah",2010,FRA,1:05.16,31.38
150,"VERDONCK, Florene",2006,FRA,1:05.83,31.27
151,"MAUMY, Angele",2007,FRA,1:06.30,31.74
152,"NEMETH, Laura-Blanka",2007,HUN,1:06.51,31.90
153,"WUNSCHEL, Romane",2009,FRA,1:06.87,32.50
154,"PICHON, Camila",2008,FRA,1:07.85,32.74
155,"BONET, Emma",2008,FRA,1:09.03,33.30
156,"HADHOUM, Jade",2008,FRA,1:09.52,32.85
157,"ROUGEOT, Pauline",2008,FRA,1:10.08,33.43
158,"BIGUENET, Pauline",2002,FRA,1:00.20,28.91
159,"PACAUD, Pauline",1993,FRA,1:01.28,29.70
160,"PREDINE, Alix",2006,FRA,1:01.55,29.60
161,"RABIA, Aya-Maria",2006,FRA,1:02.69,30.13
162,"LABALME, Lou",2007,FRA,1:03.25,30.96
163,"BARAN, Anna",2006,FRA,1:03.78,30.75
164,"WENGER, Margaux",2005,FRA,1:04.08,30.42
165,"NEMETH, Laura-Blanka",2007,HUN,1:04.20,30.88
166,"GAUTHIER, Jeanne-Lise",2008,FRA,1:04.22,31.52
167,"OURGAUD, Camille",2003,FRA,1:04.32,30.93
168,"MAREUGE, Juliette",2004,FRA,1:04.58,31.29
169,"VERDONCK, Florene",2006,FRA,1:04.61,30.90
170,"PILLOT, Sarah-Marie",2002,FRA,1:04.98,31.06
171,"FADDA SAUVAGEOT, Athena",2005,FRA,1:05.05,30.77
172,"MICHAUD, Perline",2005,FRA,1:05.06,31.03
173,"MAUMY, Angele",2007,FRA,1:05.28,31.52
174,"PORADA, Clarisse",2005,FRA,1:05.38,30.71
175,"HAEGY-BEGRAND, Maya",2007,FRA,1:05.44,31.39
176,"STUDER, Heloise",2007,FRA,1:05.45,30.79
177,"PACAUD, Oceane",2002,FRA,1:05.77,31.60
178,"HOAREAU, Sarah",2010,FRA,1:05.85,30.85
179,"MOUADEN, Maria",2007,FRA,1:05.88,31.74
180,"LESEUR, Emilie",2008,FRA,1:05.89,32.08
181,"PORIC, Sara",2006,BIH,1:06.03,30.97
182,"PORADA, Chloe",2003,FRA,1:06.03,31.29
183,"WUNSCHEL, Romane",2009,FRA,1:06.26,32.28
184,"CLEMENT, Lilly",2008,FRA,1:06.26,31.27
185,"REDZEPOVIC, Eleonora",2004,FRA,1:06.26,31.13
186,"GERVAIS, Anneline",2002,FRA,1:06.45,31.11
187,"CUNEY, Jade",2007,FRA,1:06.54,31.20
188,"DIEVAL LEROY, Oceane",2007,FRA,1:06.71,31.52
189,"SPIRIDONOV, Ryna",2006,FRA,1:07.02,31.92
190,"RAVILLION, Leane",2006,FRA,1:07.12,32.73
191,"CARRE, Marine",1990,FRA,1:07.12,33.06
192,"BOUTTER, Noane",2004,FRA,1:07.27,31.59
193,"VAXELAIRE, Emma",2006,FRA,1:07.42,32.03
194,"ROUGEOT, Pauline",2008,FRA,1:07.55,31.74
195,"PICHON, Camila",2008,FRA,1:07.59,32.58
196,"GAUTHIER, Anne-Sophie",2004,FRA,1:07.81,32.25
197,"BINDA, Zelie",2006,FRA,1:07.96,33.03
198,"STUDER, Flavie",2005,FRA,1:07.97,32.13
199,"BONET, Emma",2008,FRA,1:08.22,32.70
200,"HADHOUM, Jade",2008,FRA,1:08.41,32.42
201,"PAOLI, Elea",2008,FRA,1:08.86,33.09
202,"CHABOD, Perle",2006,FRA,1:08.93,33.16
203,"MORAND, Leila",2007,FRA,1:09.01,33.19
204,"TISSIER, Lola",2006,FRA,1:09.23,32.34
205,"BUATOIS, Eva",2009,FRA,1:09.48,32.60
206,"DELECLUSE-ROMAIN, Lola",2008,FRA,1:09.53,34.00
207,"LEBREF, Pauline",2009,FRA,1:09.81,33.80
208,"PELLE, Amelis",2008,FRA,1:09.81,32.71
209,"PELOIS, Margaux",2005,FRA,1:09.84,32.97
210,"COLLIN, Lea",2009,FRA,1:10.18,33.18
211,"LARTOT, Jeanne-Rose",2006,FRA,1:10.20,33.04
212,"GIURANNA, Louise",2007,FRA,1:10.30,32.99
213,"MARSALLON, Louise",2008,FRA,1:10.39,33.67
214,"CORTET, Salome",2004,FRA,1:10.65,32.23
215,"BORLE ISNER, Oceane",2008,FRA,1:10.88,33.62
216,"DECOBERT, Jade",2007,FRA,1:10.95,34.66
217,"PRESTAT, Mathilde",2006,FRA,1:11.03,33.57
218,"JOLIVEL, Lilou",2007,FRA,1:11.09,33.66
219,"FORTIER, Berenice",2009,FRA,1:11.33,34.18
220,"GRIFFITHS, Arwen",2007,FRA,1:11.50,34.10
221,"HUMBERT, Gabrielle",2004,FRA,1:11.64,33.78
222,"HOUASNI, Kamelia",2006,FRA,1:12.00,33.75
223,"SPIRIDONOV, Lana",2007,FRA,1:12.06,33.21
224,"MOULENDA-PERROY, Axelle",2008,FRA,1:12.31,33.84
225,"JEANNEROT, Julia",2008,FRA,1:12.69,34.23
226,"AYDOGDU, Aylin",2008,FRA,1:12.78,34.66
227,"DESPAQUIS, Eloise",2002,FRA,1:13.16,34.27
228,"HAMDAOUI, Melina",2008,FRA,1:13.26,35.39
229,"BRIERLEY-MOYES, Nora",2009,FRA,1:13.44,34.28
230,"IONESCU DORE, Maria-Anastasia",2009,ROU,1:13.46,35.10
231,"BARRAUX, Sohane",2009,FRA,1:14.26,34.78
232,"HEINRICH, Josepha",2010,FRA,1:14.27,34.99
233,"BINDA, Romie",2008,FRA,1:14.44,35.38
234,"TISSIER, Maelie",2010,FRA,1:14.55,35.93
235,"CASADEI, Mathilde",2008,FRA,1:14.62,34.94
236,"DE FAVERI-LORIN, Lalie",2008,FRA,1:14.80,35.31
237,"MASSELOT, Leane",2010,FRA,1:15.04,36.29
238,"DURAND, Emma",2008,FRA,1:15.10,35.07
239,"GAGIN, Prune",2008,FRA,1:15.14,34.46
240,"COLOBERT, Livia",2010,FRA,1:15.17,35.71
241,"MARTIN, Maya",2010,FRA,1:16.46,35.29
242,"PILLOT, Noemie",2009,FRA,1:16.71,35.29
243,"VASSALLO, Lilou",2009,FRA,1:17.38,36.31
244,"SIRVEAUX, Garence",2009,FRA,1:17.91,37.09
245,"PLAGNAT, Alize",2009,FRA,1:17.93,37.04
246,"TROGNON, Tiphaine",2010,FRA,1:18.08,38.48
247,"SAUVAIN, Livia",2009,FRA,1:18.19,39.24
248,"JAY, Harmonie",2009,FRA,1:18.33,36.94
249,"PEPIN, Manon",2006,FRA,1:19.26,38.14
250,"CORMERY-VIOLLOT, Roxane",2010,FRA,1:19.42,36.85
251,"LAUREAU, Ysee",2010,FRA,1:20.82,37.36
252,"GOSATTI, Capucine",2007,FRA,1:24.95,39.58
